OID,VALUE,COUNT,FOR_TEN,FOR_CATEGO,FOREST,STATE,FIRE_1617,FIRE_1718,FIRE_1819,FIRE_1920,FIRE_2021,ALL_FIRE,FOR_BURNS,FOR_BURN_T
0,1,4515,OCL,Native forest,1,Qld, , , , , , ,0,Forest not burnt
1,2,636,ND,Native forest,1,Qld, , , , , , ,0,Forest not burnt
2,3,12318,PRIV,Native forest,1,Qld, , , , , , ,0,Forest not burnt
3,4,236577, ,Non-forest,0,Qld, , , , , , ,-9, 
4,5,2001974, ,Non-forest,0,Qld, , , , , , ,-9, 
5,6,41610819, ,Non-forest,0,Qld, , , , , , ,-9, 
6,7,779, ,Non-forest,0, , , , , , , ,-9, 
7,8,139,PRIV,Native forest,1,Qld, , , , , , ,0,Forest not burnt
8,9,10273,PRIV,Native forest,1,Qld, , , , , , ,0,Forest not burnt
9,10,1387,PRIV,Native forest,1,Qld, , , , , , ,0,Forest not burnt
10,11,6830,PRIV,Native forest,1,Qld, , , , , , ,0,Forest not burnt
11,12,33,ND,Native forest,1,Qld, , , , , , ,0,Forest not burnt
12,13,1302,OCL,Native forest,1,Qld, , , , , , ,0,Forest not burnt
13,14,3873,PRIV,Native forest,1,Qld, , , , , , ,0,Forest not burnt
14,15,530,PRIV,Native forest,1,Qld, , , , , , ,0,Forest not burnt
15,16,528,OCL,Native forest,1,Qld, , , , , , ,0,Forest not burnt
16,17,2115,OCL,Native forest,1,Qld, , , , , , ,0,Forest not burnt
17,18,766,OCL,Native forest,1,Qld, , , , , , ,0,Forest not burnt
18,19,3674,ND,Native forest,1,Qld, , , , , , ,0,Forest not burnt
19,20,4643,PRIV,Native forest,1,Qld, , , , , , ,0,Forest not burnt
20,21,60366,PRIV,Native forest,1,Qld, , , , , , ,0,Forest not burnt
21,22,12615,PRIV,Native forest,1,Qld, , , , , , ,0,Forest not burnt
22,23,204372,PRIV,Native forest,1,Qld, , , , , , ,0,Forest not burnt
23,24,14597,PRIV,Native forest,1,Qld, , , , , , ,0,Forest not burnt
24,25,138734,PRIV,Native forest,1,Qld, , , , , , ,0,Forest not burnt
25,26,1995,PRIV,Native forest,1,Qld, , , , , , ,0,Forest not burnt
26,27,752487,PRIV,Native forest,1,Qld, , , , , , ,0,Forest not burnt
27,28,644,PRIV,Native forest,1,Qld, , ,U,U, ,  UU,2,Unplanned burns only
28,29,22327,PRIV,Native forest,1,Qld, , , ,U, ,   U,1,Unplanned burns only
29,30,35,PRIV,Native forest,1,Qld, , ,U,U, ,  UU,2,Unplanned burns only
30,31,26851,PRIV,Native forest,1,Qld, , ,U, , ,  U,1,Unplanned burns only
31,32,164,PRIV,Native forest,1,Qld, , , ,U, ,   U,1,Unplanned burns only
32,33,1603, ,Non-forest,0, , , , , , , ,-9, 
33,34,37,PRIV,Native forest,1,Qld, , , , , , ,0,Forest not burnt
34,35,162,PRIV,Native forest,1,Qld, , , ,U, ,   U,1,Unplanned burns only
35,36,4244335,PRIV,Native forest,1,Qld, , , , , , ,0,Forest not burnt
36,37,20906,PRIV,Native forest,1,Qld, , ,U, , ,  U,1,Unplanned burns only
37,38,9709,PRIV,Native forest,1,Qld, , , , , , ,0,Forest not burnt
38,39,110890,PRIV,Native forest,1,Qld, , , , , , ,0,Forest not burnt
39,40,16195,PRIV,Native forest,1,Qld, ,U, , , , U,1,Unplanned burns only
40,41,281335,PRIV,Native forest,1,Qld, , ,U, , ,  U,1,Unplanned burns only
41,42,20693,PRIV,Native forest,1,Qld, , , , , , ,0,Forest not burnt
42,43,1046,PRIV,Native forest,1,Qld, , , , , , ,0,Forest not burnt
43,44,455,PRIV,Native forest,1,Qld, , , , , , ,0,Forest not burnt
44,45,51716,PRIV,Native forest,1,Qld, , , , , , ,0,Forest not burnt
45,46,10634,PRIV,Native forest,1,Qld, , , ,U, ,   U,1,Unplanned burns only
46,47,57254,PRIV,Native forest,1,Qld, , , , , , ,0,Forest not burnt
47,48,197350,PRIV,Native forest,1,Qld, , , ,U, ,   U,1,Unplanned burns only
48,49,354,PRIV,Native forest,1,Qld, , , , , , ,0,Forest not burnt
49,50,144713,PRIV,Native forest,1,Qld, , , , , , ,0,Forest not burnt
50,51,688,PRIV,Native forest,1,Qld, , , ,U, ,   U,1,Unplanned burns only
51,52,5838,OCL,Native forest,1,Qld, , , , , , ,0,Forest not burnt
52,53,16305,PRIV,Native forest,1,Qld, , ,U,U, ,  UU,2,Unplanned burns only
53,54,415,PRIV,Native forest,1,Qld, , ,U, , ,  U,1,Unplanned burns only
54,55,20,PRIV,Native forest,1,Qld, , ,U, , ,  U,1,Unplanned burns only
55,56,10303,PRIV,Native forest,1,Qld, , , , , , ,0,Forest not burnt
56,57,4683,PRIV,Native forest,1,Qld, ,U, ,U, , U U,2,Unplanned burns only
57,58,7,PRIV,Native forest,1,Qld, ,U, ,U, , U U,2,Unplanned burns only
58,59,49,PRIV,Native forest,1,Qld, , ,U,U, ,  UU,2,Unplanned burns only
59,60,633,PRIV,Native forest,1,Qld, , ,U,U, ,  UU,2,Unplanned burns only
60,61,7831,PRIV,Native forest,1,Qld, , ,U, , ,  U,1,Unplanned burns only
61,62,375,PRIV,Native forest,1,Qld, , ,U, , ,  U,1,Unplanned burns only
62,63,12037,PRIV,Native forest,1,Qld, , , ,U, ,   U,1,Unplanned burns only
63,64,33888,PRIV,Native forest,1,Qld, , , , , , ,0,Forest not burnt
64,65,3024,PRIV,Native forest,1,Qld, , ,U, , ,  U,1,Unplanned burns only
65,66,1766, ,Non-forest,0, , , , , , , ,-9, 
66,67,655,PRIV,Native forest,1,Qld, ,U,U, , , UU,2,Unplanned burns only
67,68,418,PRIV,Native forest,1,Qld, ,U,U, , , UU,2,Unplanned burns only
68,69,30,PRIV,Native forest,1,Qld, ,U,U, , , UU,2,Unplanned burns only
69,70,775293,PRIV,Native forest,1,Qld, , , , , , ,0,Forest not burnt
70,71,3,PRIV,Native forest,1,Qld, ,U,U, , , UU,2,Unplanned burns only
71,72,79997,PRIV,Native forest,1,Qld, , ,U, , ,  U,1,Unplanned burns only
72,73,4,PRIV,Native forest,1,Qld, ,U, , , , U,1,Unplanned burns only
73,74,26,PRIV,Native forest,1,Qld, ,U, , , , U,1,Unplanned burns only
74,75,3599,PRIV,Native forest,1,Qld, , ,U, , ,  U,1,Unplanned burns only
75,76,17349,PRIV,Native forest,1,Qld, , ,U, , ,  U,1,Unplanned burns only
76,77,1900,PRIV,Native forest,1,Qld, ,U,U, , , UU,2,Unplanned burns only
77,78,11755,PRIV,Native forest,1,Qld, ,U, , , , U,1,Unplanned burns only
78,79,32019,PRIV,Native forest,1,Qld, , , ,U, ,   U,1,Unplanned burns only
79,80,8,PRIV,Native forest,1,Qld, ,U, , , , U,1,Unplanned burns only
80,81,26907,PRIV,Native forest,1,Qld, ,U,U, , , UU,2,Unplanned burns only
81,82,3,PRIV,Native forest,1,Qld, ,U,U, , , UU,2,Unplanned burns only
82,83,26871,PRIV,Native forest,1,Qld, , , , , , ,0,Forest not burnt
83,84,20109,PRIV,Native forest,1,Qld, ,U, , , , U,1,Unplanned burns only
84,85,23666,PRIV,Native forest,1,Qld, , , ,U, ,   U,1,Unplanned burns only
85,86,1494,PRIV,Native forest,1,Qld, ,U,U,U, , UUU,3,Unplanned burns only
