City,Longitude,Latitude,Count
Adelaide,-34.9285,138.6007,2
Ballarat,-37.5622,143.8503,1
Bendigo,-36.757786,144.2787,1
Brisbane,-27.4701,152.021,2
Canberra,-35.28094,149.13001,1
E Malvern,-37.8773,145.0593,1
Geraldton,-28.7761,114.6113,1
Hope Forest,-35.2795,138.6213,1
Horsham,-36.7167,142.1997,1
Maryborough,-37.05,143.735,1
Melbourne,-37.8136,144.9631,14
Murwillumbah,-28.3371,153.4166,1
Perth,-31.9535,115.857,1
Queensland,-20.917574,142.702789,1
Sydney,-33.86514,151.2099,4
Traralgon,-38.19528,146.5415,1
