latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-16.144,136.7135,367.6,1.4,1.2,1/8/2019,0058,Terra,MODIS,100,6.3,307.8,162.2,D,0
-34.1465,116.3881,401.5,1.5,1.2,1/8/2019,0241,Terra,MODIS,100,6.3,295.7,461.8,D,0
-34.1486,116.3819,402.3,1.5,1.2,1/8/2019,0241,Terra,MODIS,100,6.3,295.1,470.3,D,0
-14.8508,144.3189,387.4,1.7,1.3,1/8/2019,0346,Aqua,MODIS,100,6.3,306.6,405.8,D,0
-14.8462,144.3233,386.6,1.7,1.3,1/8/2019,0346,Aqua,MODIS,100,6.3,302.5,395.1,D,0
-14.8481,144.307,365.4,1.8,1.3,1/8/2019,0346,Aqua,MODIS,100,6.3,299.9,214.6,D,0
-16.0782,125.8966,369.2,1,1,1/8/2019,0524,Aqua,MODIS,100,6.3,314.4,103.1,D,0
-14.6462,130.5895,374,1.9,1.3,1/8/2019,0524,Aqua,MODIS,100,6.3,309.8,298.1,D,0
-14.7076,126.7537,366.3,1.1,1,1/8/2019,0524,Aqua,MODIS,100,6.3,313.2,95.5,D,0
-11.4028,130.8109,365.4,2.3,1.5,1/8/2019,0525,Aqua,MODIS,100,6.3,297.5,318.8,D,0
-11.3993,130.832,367.4,2.3,1.5,1/8/2019,0525,Aqua,MODIS,100,6.3,295.3,344.2,D,0
-14.7895,144.2807,364.3,1.1,1.1,1/8/2019,1311,Terra,MODIS,100,6.3,294.6,120.3,N,0
-14.7879,144.2913,364.8,1.1,1.1,1/8/2019,1311,Terra,MODIS,100,6.3,295.1,121.9,N,0
-14.7991,144.2823,321,1.1,1.1,1/8/2019,1311,Terra,MODIS,100,6.3,291.7,22.3,N,0
-14.7974,144.2929,340.5,1.1,1.1,1/8/2019,1311,Terra,MODIS,100,6.3,293.8,53.2,N,0
-14.7958,144.3035,323.8,1.2,1.1,1/8/2019,1311,Terra,MODIS,100,6.3,291.9,25,N,0
-14.7942,144.3141,322.2,1.2,1.1,1/8/2019,1311,Terra,MODIS,100,6.3,291.1,23.1,N,0
-15.7712,136.9987,326.7,1,1,1/8/2019,1615,Aqua,MODIS,100,6.3,290.9,26.4,N,0
-11.3928,130.8015,371.4,1,1,2/8/2019,0140,Terra,MODIS,100,6.3,306.3,112.7,D,0
-11.5029,130.2408,362.6,1,1,2/8/2019,0140,Terra,MODIS,100,6.3,303.4,92.2,D,3
-14.1901,130.6676,382.3,1,1,2/8/2019,0140,Terra,MODIS,100,6.3,307.8,156,D,0
-14.2018,130.6847,367.1,1,1,2/8/2019,0140,Terra,MODIS,100,6.3,309.4,99.1,D,0
-14.2239,130.7098,384.1,1,1,2/8/2019,0140,Terra,MODIS,100,6.3,311.8,162.1,D,0
-15.1929,129.9125,393.9,1,1,2/8/2019,0141,Terra,MODIS,100,6.3,309.5,209.9,D,0
-33.6361,122.857,375.5,1.1,1.1,2/8/2019,0146,Terra,MODIS,100,6.3,292.5,163.7,D,0
-16.1198,136.6612,360.2,1.1,1.1,2/8/2019,0428,Aqua,MODIS,100,6.3,313.5,86.9,D,0
-14.1709,130.6659,366.1,2.8,1.6,2/8/2019,0429,Aqua,MODIS,100,6.3,304.5,422.6,D,0
-14.1738,130.6399,384.2,2.8,1.6,2/8/2019,0429,Aqua,MODIS,100,6.3,310.9,730.3,D,0
-14.1593,130.638,363.1,2.8,1.6,2/8/2019,0429,Aqua,MODIS,100,6.3,300.8,390.4,D,0
-14.1683,130.6586,373,2.8,1.6,2/8/2019,0429,Aqua,MODIS,100,6.3,306.5,526.8,D,0
-14.1714,130.6324,364.8,2.8,1.6,2/8/2019,0429,Aqua,MODIS,100,6.3,309.6,406.5,D,0
-11.3919,130.7899,369.5,2.5,1.5,2/8/2019,0430,Aqua,MODIS,100,6.3,305.9,405.6,D,0
