Year,Forest Type,Count
2016-17,Commercial Plantation,196
2016-17,Native Forest,16356
2016-17,Non Forest,698
2016-17,Other Forest,67
2017-18,Commercial Plantation,214
2017-18,Native Forest,16505
2017-18,Non Forest,726
2017-18,Other Forest,67
2018-19,Commercial Plantation,228
2018-19,Native Forest,16609
2018-19,Non Forest,715
2018-19,Other Forest,92
2019-20,Commercial Plantation,236
2019-20,Native Forest,17033
2019-20,Non Forest,735
2019-20,Other Forest,107
2020-21,Commercial Plantation,203
2020-21,Native Forest,15595
2020-21,Non Forest,697
2020-21,Other Forest,64
